position_api,position_calculated,title,publication,authors,self_citation_status,matched_text,link,data_cid
11,11,The ovary: basic biology and clinical implications,"JAS Richards, SA Pangas - The Journal of clinical investigation, 2010 - jci.org",JAS Richards; SA Pangas,NO AUTOCITA,,https://www.jci.org/articles/view/41350,AVwzuHG8S8MJ
12,12,The disparate origins of ovarian cancers: pathogenesis and prevention strategies,"AN Karnezis, KR Cho, CB Gilks, CL Pearce… - Nature Reviews …, 2017 - nature.com",AN Karnezis; KR Cho; CB Gilks; CL Pearce,NO AUTOCITA,,https://www.nature.com/articles/nrc.2016.113,P8MSbv4D4_sJ
13,13,Ovarian folliculogenesis,"N Rimon-Dahari, L Yerushalmi-Heinemann… - … mechanisms of cell …, 2016 - Springer",N Rimon-Dahari; L Yerushalmi-Heinemann…,NO AUTOCITA,,https://link.springer.com/chapter/10.1007/978-3-319-31973-5_7,4JRMVbswc2gJ
14,14,Impact of NAD+ metabolism on ovarian aging,"J Liang, F Huang, Z Song, R Tang, P Zhang, R Chen - Immunity & Ageing, 2023 - Springer",J Liang; F Huang; Z Song; R Tang; P Zhang; R Chen,NO AUTOCITA,,https://link.springer.com/article/10.1186/s12979-023-00398-w,42ScIerJc_gJ
15,15,Advances in human primordial follicle activation and premature ovarian insufficiency,"EA Ford, EL Beckett, SD Roman… - …, 2020 - rep.bioscientifica.com",EA Ford; EL Beckett; SD Roman,NO AUTOCITA,,https://rep.bioscientifica.com/view/journals/rep/aop/rep-19-0201.xml,YOILBUifjLMJ
16,16,Molecular mechanisms underlying the activation of mammalian primordial follicles,"D Adhikari, K Liu - Endocrine reviews, 2009 - academic.oup.com",D Adhikari; K Liu,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/30/5/438/2355046,zKzax81QmKQJ
17,17,Foxl2 up-regulates aromatase gene transcription in a female-specific manner by binding to the promoter as well as interacting with ad4 binding protein/steroidogenic …,"DS Wang, T Kobayashi, LY Zhou… - Molecular …, 2007 - academic.oup.com",DS Wang; T Kobayashi; LY Zhou…,NO AUTOCITA,,https://academic.oup.com/mend/article-abstract/21/3/712/2738429,S2TkpSHjeJ8J
18,18,The role of pituitary gonadotropins and intraovarian regulators in follicle development: A mini‐review,"M Orisaka, Y Miyazaki, A Shirafuji… - Reproductive …, 2021 - Wiley Online Library",M Orisaka; Y Miyazaki; A Shirafuji…,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/rmb2.12371,Bmjo9JcGkEAJ
19,19,Premature ovarian insufficiency: new perspectives on genetic cause and phenotypic spectrum,"EJ Tucker, SR Grover, A Bachelot, P Touraine… - Endocrine …, 2016 - academic.oup.com",EJ Tucker; SR Grover; A Bachelot; P Touraine…,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/37/6/609/2691716,r3ero5E-7GEJ
20,20,Mutation of foxl2 or cyp19a1a Results in Female to Male Sex Reversal in XX Nile Tilapia,"X Zhang, M Li, H Ma, X Liu, H Shi, M Li… - Endocrinology, 2017 - academic.oup.com",X Zhang; M Li; H Ma; X Liu; H Shi; M Li…,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/158/8/2634/3813248,mmz7qu-CTe0J
1,21,Studying ovarian aging and its health impacts: modern tools and approaches,"BA Benayoun, A Kochersberger… - Genes & …, 2025 - genesdev.cshlp.org",BA Benayoun; A Kochersberger…,NO AUTOCITA,,https://genesdev.cshlp.org/content/39/15-16/975.short,5vGbcwqCPKkJ
2,22,Cellular and molecular aspects of ovarian follicle ageing,"C Tatone, F Amicarelli, MC Carbone… - Human reproduction …, 2008 - academic.oup.com",C Tatone; F Amicarelli; MC Carbone…,NO AUTOCITA,,https://academic.oup.com/humupd/article-abstract/14/2/131/610787,hfVQ8NZTic8J
3,23,From primordial germ cell to primordial follicle: mammalian female germ cell development,"ME Pepling - genesis, 2006 - Wiley Online Library",ME Pepling,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/dvg.20258,o7P7RE4IYUUJ
4,24,Dissecting cell lineage specification and sex fate determination in gonadal somatic cells using single-cell transcriptomics,"I Stévant, F Kühne, A Greenfield, MC Chaboissier… - Cell reports, 2019 - cell.com",I Stévant; F Kühne; A Greenfield; MC Chaboissier…,NO AUTOCITA,,https://www.cell.com/cell-reports/fulltext/S2211-1247(19)30248-7,_DOMclxQjmEJ
5,25,"Ovarian follicular theca cell recruitment, differentiation, and impact on fertility: 2017 update","JAS Richards, YA Ren, N Candelaria… - Endocrine …, 2018 - academic.oup.com",JAS Richards; YA Ren; N Candelaria…,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/39/1/1/4344811,FUx0V9ulgTkJ
6,26,Genetics of primary ovarian insufficiency,"R Rossetti, I Ferrari, M Bonomi, L Persani - Clinical genetics, 2017 - Wiley Online Library",R Rossetti; I Ferrari; M Bonomi; L Persani,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1111/cge.12921,IiKSlqpW4mEJ
7,27,Activation of β-catenin signaling by Rspo1 controls differentiation of the mammalian ovary,"AA Chassot, F Ranc, EP Gregoire… - Human molecular …, 2008 - academic.oup.com",AA Chassot; F Ranc; EP Gregoire…,NO AUTOCITA,,https://academic.oup.com/hmg/article-abstract/17/9/1264/570531,kUGtfFg4p74J
8,28,"c-Jun, at the crossroad of the signaling network","Q Meng, Y Xia - Protein & cell, 2011 - academic.oup.com",Q Meng; Y Xia,NO AUTOCITA,,https://academic.oup.com/proteincell/article-abstract/2/11/889/6842711,Pr7H-v5t0aUJ
9,29,Cellular and molecular regulation of the activation of mammalian primordial follicles: somatic cells initiate follicle activation in adulthood,"H Zhang, K Liu - Human reproduction update, 2015 - academic.oup.com",H Zhang; K Liu,NO AUTOCITA,,https://academic.oup.com/humupd/article-abstract/21/6/779/628622,ISrww4U5DEsJ
10,30,Somatic cells initiate primordial follicle activation and govern the development of dormant oocytes in mice,"H Zhang, S Risal, N Gorre, K Busayavalasa, X Li… - Current Biology, 2014 - cell.com",H Zhang; S Risal; N Gorre; K Busayavalasa; X Li…,NO AUTOCITA,,https://www.cell.com/current-biology/fulltext/S0960-9822(14)01144-0,Hv1FjAbyrXEJ
11,31,Human sex reversal is caused by duplication or deletion of core enhancers upstream of SOX9,"B Croft, T Ohnesorg, J Hewitt, J Bowles, A Quinn… - Nature …, 2018 - nature.com",B Croft; T Ohnesorg; J Hewitt; J Bowles; A Quinn,NO AUTOCITA,,https://www.nature.com/articles/s41467-018-07784-9,dPigeTlLDRoJ
12,32,Forkhead transcription factors: key players in health and disease,"BA Benayoun, S Caburet, RA Veitia - Trends in Genetics, 2011 - cell.com",BA Benayoun; S Caburet; RA Veitia,NO AUTOCITA,,https://www.cell.com/trends/genetics/abstract/S0168-9525(11)00044-8,7PnwsokeedsJ
13,33,Age-related changes in Folliculogenesis and potential modifiers to improve fertility outcomes-A narrative review,"E Esencan, G Beroukhim, DB Seifer - Reproductive biology and …, 2022 - Springer",E Esencan; G Beroukhim; DB Seifer,NO AUTOCITA,,https://link.springer.com/article/10.1186/s12958-022-01033-x,PgufXkXoFSoJ
14,34,Lineage specification of ovarian theca cells requires multicellular interactions via oocyte and granulosa cells,"C Liu, J Peng, MM Matzuk, HHC Yao - Nature communications, 2015 - nature.com",C Liu; J Peng; MM Matzuk; HHC Yao,NO AUTOCITA,,https://www.nature.com/articles/ncomms7934,CwxDYWdcDs8J
15,35,"Does size matter in females? An overview of the impact of the high variation in the ovarian reserve on ovarian function and fertility, utility of anti-Müllerian hormone as …","JJ Ireland, GW Smith, D Scheetz… - Reproduction …, 2010 - CSIRO Publishing",JJ Ireland; GW Smith; D Scheetz…,NO AUTOCITA,,https://www.publish.csiro.au/RD/RD10226,lJ1bXe1kk00J
16,36,Recent advances in understanding primary ovarian insufficiency,"V Wesevich, AN Kellen, L Pal - F1000Research, 2020 - pmc.ncbi.nlm.nih.gov",V Wesevich; AN Kellen; L Pal,NO AUTOCITA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7477642/,IdV7U4G3yY4J
17,37,At the crossroads of fate—somatic cell lineage specification in the fetal gonad,"E Rotgers, A Jørgensen, HHC Yao - Endocrine reviews, 2018 - academic.oup.com",E Rotgers; A Jørgensen; HHC Yao,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/39/5/739/4995802,QeZ2tXQI5YMJ
18,38,Two classes of ovarian primordial follicles exhibit distinct developmental dynamics and physiological functions,"W Zheng, H Zhang, N Gorre, S Risal… - Human molecular …, 2014 - academic.oup.com",W Zheng; H Zhang; N Gorre; S Risal…,NO AUTOCITA,,https://academic.oup.com/hmg/article-abstract/23/4/920/635594,OipvuD7f8wMJ
19,39,Follicle numbers are highly repeatable within individual animals but are inversely correlated with FSH concentrations and the proportion of good-quality embryos after …,"JJ Ireland, F Ward, F Jimenez-Krassel… - Human …, 2007 - academic.oup.com",JJ Ireland; F Ward; F Jimenez-Krassel…,NO AUTOCITA,,https://academic.oup.com/humrep/article-abstract/22/6/1687/610956,cNBOAinMBt8J
20,40,"Sequential, Divergent, and Cooperative Requirements of Foxl2a and Foxl2b in Ovary Development and Maintenance of Zebrafish","YJ Yang, Y Wang, Z Li, L Zhou, JF Gui - Genetics, 2017 - academic.oup.com",YJ Yang; Y Wang; Z Li; L Zhou; JF Gui,NO AUTOCITA,,https://academic.oup.com/genetics/article-abstract/205/4/1551/6066435,O0QYiJhQK8sJ
1,41,Antagonistic roles of Dmrt1 and Foxl2 in sex differentiation via estrogen production in tilapia as demonstrated by TALENs,"MH Li, HH Yang, MR Li, YL Sun, XL Jiang… - …, 2013 - academic.oup.com",MH Li; HH Yang; MR Li; YL Sun; XL Jiang…,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/154/12/4814/2433363,VdvKSsKUrYEJ
2,42,Temporal differences in granulosa cell specification in the ovary reflect distinct follicle fates in mice,"L Mork, DM Maatouk, JA McMahon, JJ Guo… - Biology of …, 2012 - academic.oup.com",L Mork; DM Maatouk; JA McMahon; JJ Guo,NO AUTOCITA,,"https://academic.oup.com/biolreprod/article-abstract/86/2/37,%201-9/2530631",p8CT6cSObigJ
3,43,In-depth analysis of transcriptomes in ovarian cortical follicles from children and adults reveals interfollicular heterogeneity,"I Rooda, J Hassan, J Hao, M Wagner… - Nature …, 2024 - nature.com",I Rooda; J Hassan; J Hao; M Wagner…,NO AUTOCITA,,https://www.nature.com/articles/s41467-024-51185-0,j23cX02nFwcJ
4,44,Foxl2 is required for commitment to ovary differentiation,"C Ottolenghi, S Omari, JE Garcia-Ortiz… - Human molecular …, 2005 - academic.oup.com",C Ottolenghi; S Omari; JE Garcia-Ortiz,AUTOCITA,JE Garcia-Ortiz,https://academic.oup.com/hmg/article-abstract/14/14/2053/608378,6E2CQCg_VMAJ
5,45,"Molecular regulation of follicle-stimulating hormone synthesis, secretion and action","N Das, TR Kumar - Journal of molecular endocrinology, 2018 - jme.bioscientifica.com",N Das; TR Kumar,NO AUTOCITA,,https://jme.bioscientifica.com/view/journals/jme/60/3/JME-17-0308.xml,HovEiqwngOcJ
6,46,Genes involved in human premature ovarian failure,"L Persani, R Rossetti… - Journal of molecular …, 2010 - endocrinology-journals.org",L Persani; R Rossetti,NO AUTOCITA,,https://www.endocrinology-journals.org/jme-sub/cgi/content/full/45/5/257.html,BO9bB4IARyUJ
7,47,Loss of Wnt4 and Foxl2 leads to female-to-male sex reversal extending to germ cells,"C Ottolenghi, E Pelosi, J Tran… - Human molecular …, 2007 - academic.oup.com",C Ottolenghi; E Pelosi; J Tran,NO AUTOCITA,,https://academic.oup.com/hmg/article-abstract/16/23/2795/555516,xRXV97cxPccJ
8,48,Comparing the DNA hypermethylome with gene mutations in human colorectal cancer,"KE Schuebel, W Chen, L Cope, SC Glöckner… - PLoS …, 2007 - journals.plos.org",KE Schuebel; W Chen; L Cope; SC Glöckner…,NO AUTOCITA,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.0030157,DCa0_w97Bt4J
9,49,Mechanisms maintaining the dormancy and survival of mammalian primordial follicles,"P Reddy, W Zheng, K Liu - Trends in Endocrinology & Metabolism, 2010 - cell.com",P Reddy; W Zheng; K Liu,NO AUTOCITA,,https://www.cell.com/trends/endocrinology-metabolism/fulltext/S1043-2760(09)00160-X?script=true&code=cell-site,DNcdeWyyhW4J
10,50,Germ line control of female sex determination in zebrafish,"KR Siegfried, C Nüsslein-Volhard - Developmental biology, 2008 - Elsevier",KR Siegfried; C Nüsslein-Volhard,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0012160608012384,HNjKiTTzu3gJ
11,51,FOXL2 is a female sex-determining gene in the goat,"L Boulanger, M Pannetier, L Gall, A Allais-Bonnet… - Current Biology, 2014 - cell.com",L Boulanger; M Pannetier; L Gall; A Allais-Bonnet…,NO AUTOCITA,,https://www.cell.com/current-biology/fulltext/S0960-9822(13)01598-4,9mWmuAHbbTEJ
12,52,Follicular assembly: mechanisms of action,"ME Pepling - Reproduction, 2012 - academic.oup.com",ME Pepling,NO AUTOCITA,,https://academic.oup.com/reproduction/article-abstract/143/2/139/8243430,NQ8GVSfzS3IJ
13,53,Forkhead transcription factors in health and disease,"L Herman, AL Todeschini, RA Veitia - Trends in Genetics, 2021 - cell.com",L Herman; AL Todeschini; RA Veitia,NO AUTOCITA,,https://www.cell.com/trends/genetics/abstract/S0168-9525(20)30308-5,TiCKEvYi7SIJ
14,54,Impaired kisspeptin signaling decreases metabolism and promotes glucose intolerance and obesity,"KP Tolson, C Garcia, S Yen, S Simonds… - The Journal of clinical …, 2014 - jci.org",KP Tolson; C Garcia; S Yen; S Simonds…,NO AUTOCITA,,https://www.jci.org/articles/view/71075,kiyyEuJ0RjQJ
15,55,FOXL2: a central transcription factor of the ovary,"A Georges, A Auguste, L Bessiere… - Journal of …, 2014 - jme.bioscientifica.com",A Georges; A Auguste; L Bessiere…,NO AUTOCITA,,https://jme.bioscientifica.com/view/journals/jme/52/1/R17.xml,JgDcPo5POosJ
16,56,Premature ovarian insufficiency: pathogenesis and therapeutic potential of mesenchymal stem cell,"A Takahashi, A Yousif, L Hong, II Chefetz - Journal of Molecular Medicine, 2021 - Springer",A Takahashi; A Yousif; L Hong; II Chefetz,NO AUTOCITA,,https://link.springer.com/article/10.1007/s00109-021-02055-5,AKvPA-zPOdIJ
17,57,Oocyte aging: the role of cellular and environmental factors and impact on female fertility,"TA Ahmed, SM Ahmed, Z El-Gammal… - Cell Biology and …, 2019 - Springer",TA Ahmed; SM Ahmed; Z El-Gammal,NO AUTOCITA,,https://link.springer.com/chapter/10.1007/5584_2019_456,x0M0-T12aocJ
18,58,Characterization of Gonadal Transcriptomes from Nile Tilapia (Oreochromis niloticus) Reveals Differentially Expressed Genes,"W Tao, J Yuan, L Zhou, L Sun, Y Sun, S Yang, M Li… - PloS one, 2013 - journals.plos.org",W Tao; J Yuan; L Zhou; L Sun; Y Sun; S Yang; M Li…,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0063604,Xgvbg1oCh-sJ
19,59,The primordial pool of follicles and nest breakdown in mammalian ovaries,"C Tingen, A Kim, TK Woodruff - Molecular human reproduction, 2009 - academic.oup.com",C Tingen; A Kim; TK Woodruff,NO AUTOCITA,,https://academic.oup.com/molehr/article-abstract/15/12/795/1048275,jtU_W6yv5qwJ
20,60,Gametogenesis: A journey from inception to conception,"H Larose, AN Shami, H Abbott, G Manske, L Lei… - Current topics in …, 2019 - Elsevier",H Larose; AN Shami; H Abbott; G Manske; L Lei,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0070215318301054,YueKH7jD8r8J
1,61,SOX genes and their role in disorders of sex development,"R Sreenivasan, N Gonen, A Sinclair - Sexual Development, 2022 - karger.com",R Sreenivasan; N Gonen; A Sinclair,NO AUTOCITA,,https://karger.com/sxd/article/16/2-3/80/827005,svwOjIYIDT0J
2,62,Control of mammalian oocyte growth and early follicular development by the oocyte PI3 kinase pathway: new roles for an old timer,"K Liu, S Rajareddy, L Liu, K Jagarlamudi, K Boman… - Developmental …, 2006 - Elsevier",K Liu; S Rajareddy; L Liu; K Jagarlamudi; K Boman…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0012160606010505,I6dAl0BSvLIJ
3,63,Mitochondrial functions on oocytes and preimplantation embryos,"L Wang, D Wang, X Zou, C Xu - Journal of Zhejiang University Science B, 2009 - Springer",L Wang; D Wang; X Zou; C Xu,NO AUTOCITA,,https://link.springer.com/article/10.1631/jzus.B0820379,gIzTSoo7CAsJ
4,64,Molecular pathogenesis of granulosa cell tumors of the ovary,"S Jamieson, PJ Fuller - Endocrine reviews, 2012 - academic.oup.com",S Jamieson; PJ Fuller,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/33/1/109/2354849,WLYb51UkyHUJ
5,65,Ovarian follicle depletion induced by chemotherapy and the investigational stages of potential fertility-protective treatments—a review,"X Hao, A Anastácio, K Liu… - International journal of …, 2019 - mdpi.com",X Hao; A Anastácio; K Liu…,NO AUTOCITA,,https://www.mdpi.com/1422-0067/20/19/4720,qShiN3dHrtgJ
6,66,miRNAs as a novel clinical biomarker and therapeutic targets in polycystic ovary syndrome (PCOS): A review,"M Abdalla, H Deshmukh, SL Atkin, T Sathyapalan - Life sciences, 2020 - Elsevier",M Abdalla; H Deshmukh; SL Atkin; T Sathyapalan,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0024320520309267,gIkT4vWRW7kJ
7,67,MicroRNAs related to polycystic ovary syndrome (PCOS),"AE Sørensen, ML Wissing, S Salö, ALM Englund… - Genes, 2014 - mdpi.com",AE Sørensen; ML Wissing; S Salö; ALM Englund…,NO AUTOCITA,,https://www.mdpi.com/2073-4425/5/3/684,psQqJnm1P5YJ
8,68,A critical time window of Sry action in gonadal sex determination in mice,"R Hiramatsu, S Matoba, M Kanai-Azuma, N Tsunekawa… - 2009 - journals.biologists.com",R Hiramatsu; S Matoba; M Kanai-Azuma; N Tsunekawa…,NO AUTOCITA,,https://journals.biologists.com/dev/article-abstract/136/1/129/65122,daWW91a22IAJ
9,69,Zebrafish as a model for studying ovarian development: Recent advances from targeted gene knockout studies,"J Li, W Ge - Molecular and cellular endocrinology, 2020 - Elsevier",J Li; W Ge,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0303720720300782,GNaCdL0uRZwJ
10,70,FOXL2 activates P450 aromatase gene transcription: towards a better characterization of the early steps of mammalian ovarian development,"M Pannetier, S Fabre, F Batista… - Journal of …, 2006 - jme.bioscientifica.com",M Pannetier; S Fabre; F Batista…,NO AUTOCITA,,https://jme.bioscientifica.com/view/journals/jme/36/3/0360399.xml,PSgQi1dKCH0J
11,71,Sry and SoxE genes: How they participate in mammalian sex determination and gonadal development?,"ZY She, WX Yang - Seminars in Cell & Developmental Biology, 2017 - Elsevier",ZY She; WX Yang,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1084952116302361,DAztEW_EDEUJ
12,72,Establishment and depletion of the ovarian reserve: physiology and impact of environmental chemicals,"W Ge, L Li, PW Dyce, M De Felici, W Shen - Cellular and Molecular Life …, 2019 - Springer",W Ge; L Li; PW Dyce; M De Felici; W Shen,NO AUTOCITA,,https://link.springer.com/article/10.1007/s00018-019-03028-1,2aykbgSzCyYJ
13,73,The differentiation fate of granulosa cells and the regulatory mechanism in ovary,"Y Chen, S Wang, C Zhang - Reproductive Sciences, 2025 - Springer",Y Chen; S Wang; C Zhang,NO AUTOCITA,,https://link.springer.com/article/10.1007/s43032-024-01682-w,DL7_RG63bcAJ
14,74,Age-dependent changes in the expression of superoxide dismutases and catalase are associated with ultrastructural modifications in human granulosa cells,"C Tatone, MC Carbone, S Falone… - Molecular human …, 2006 - academic.oup.com",C Tatone; MC Carbone; S Falone,NO AUTOCITA,,https://academic.oup.com/molehr/article-abstract/12/11/655/1200674,MQ4uDvBSAq0J
15,75,Unveiling the role of FOXL2 in female differentiation and disease: a comprehensive review,"J He, Z Wang, L Yang, Y Jiang, G Yan… - Biology of …, 2025 - academic.oup.com",J He; Z Wang; L Yang; Y Jiang; G Yan…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/112/4/600/8026378,muOkjHkhkfgJ
16,76,Transcription factor FIGLA is mutated in patients with premature ovarian failure,"H Zhao, ZJ Chen, Y Qin, Y Shi, S Wang, Y Choi… - The American Journal of …, 2008 - cell.com",H Zhao; ZJ Chen; Y Qin; Y Shi; S Wang; Y Choi,NO AUTOCITA,,https://www.cell.com/ajhg/fulltext/S0002-9297(08)00306-6,p16YcO5fRRIJ
17,77,Maintaining differentiated cellular identity,"J Holmberg, T Perlmann - Nature Reviews Genetics, 2012 - nature.com",J Holmberg; T Perlmann,NO AUTOCITA,,https://www.nature.com/articles/nrg3209,vroRd9IQr6AJ
18,78,Differentiation therapy and the mechanisms that terminate cancer cell proliferation without harming normal cells,"FO Enane, Y Saunthararajah, M Korc - Cell death & disease, 2018 - nature.com",FO Enane; Y Saunthararajah; M Korc,NO AUTOCITA,,https://www.nature.com/articles/s41419-018-0919-9,V8IXRu_SkhQJ
19,79,"Interplay of oxidative stress, autophagy, and Rubicon in ovarian follicle dynamics: orchestrating ovarian aging","K Yamada, M Ito, H Nunomura, T Nishigori, A Furuta… - Antioxidants, 2025 - mdpi.com",K Yamada; M Ito; H Nunomura; T Nishigori; A Furuta…,NO AUTOCITA,,https://www.mdpi.com/2076-3921/14/8/919,tuHyOBbQsPUJ
20,80,Genetic aspects of premature ovarian failure: a literature review,"EB Cordts, DM Christofolini, AA Dos Santos… - Archives of Gynecology …, 2011 - Springer",EB Cordts; DM Christofolini; AA Dos Santos…,NO AUTOCITA,,https://link.springer.com/article/10.1007/s00404-010-1815-4,R1_7RtlyBXAJ
1,81,RUNX1 maintains the identity of the fetal ovary through an interplay with FOXL2,"B Nicol, SA Grimm, F Chalmel, E Lecluze… - Nature …, 2019 - nature.com",B Nicol; SA Grimm; F Chalmel; E Lecluze…,NO AUTOCITA,,https://www.nature.com/articles/s41467-019-13060-1,7DlBOk4ubYcJ
2,82,Foxl2 and its relatives are evolutionary conserved players in gonadal sex differentiation,"S Bertho, J Pasquier, Q Pan, G Le Trionnaire… - Sexual …, 2016 - karger.com",S Bertho; J Pasquier; Q Pan; G Le Trionnaire…,NO AUTOCITA,,https://karger.com/sxd/article/10/3/111/305220,slXmFDJ4X8oJ
3,83,A new model of development of the mammalian ovary and follicles,"K Hummitzsch, HF Irving-Rodgers, N Hatzirodos… - PloS one, 2013 - journals.plos.org",K Hummitzsch; HF Irving-Rodgers; N Hatzirodos…,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0055578,vK_qdjHO5sAJ
4,84,Functional roles of the phosphatidylinositol 3-kinases (PI3Ks) signaling in the mammalian ovary,"W Zheng, G Nagaraju, Z Liu, K Liu - Molecular and cellular endocrinology, 2012 - Elsevier",W Zheng; G Nagaraju; Z Liu; K Liu,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0303720711002796,jCVpAg7WVsoJ
5,85,Implications of nonphysiological ovarian primordial follicle activation for fertility preservation,"J Grosbois, M Devos, I Demeestere - Endocrine reviews, 2020 - academic.oup.com",J Grosbois; M Devos; I Demeestere,NO AUTOCITA,,https://academic.oup.com/edrv/article-abstract/41/6/847/5882019,kSUGTHPy5CMJ
6,86,Driving folliculogenesis by the oocyte-somatic cell dialog: Lessons from genetic models,"D Monniaux - Theriogenology, 2016 - Elsevier",D Monniaux,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0093691X16300486,hUQZu34FLeoJ
7,87,Isolation of chicken homolog of the FOXL2 gene and comparison of its expression patterns with those of aromatase during ovarian development,"MS Govoroun, M Pannetier, E Pailhoux… - … dynamics: an official …, 2004 - Wiley Online Library",MS Govoroun; M Pannetier; E Pailhoux…,NO AUTOCITA,,https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/dvdy.20189,Lufo6FDA3TgJ
8,88,"Molecular cloning and analysis of gonadal expression of Foxl2 in the medaka, Oryzias latipes","M Nakamoto, M Matsuda, DS Wang… - Biochemical and …, 2006 - Elsevier",M Nakamoto; M Matsuda; DS Wang…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0006291X06006206,grUul1sPKOkJ
